,SpeciesLatinName,Lifespan,AROCM_BivProm2+,AROCM_BivProm2+Young,AROCM_BivProm2+Old,AdjAROCM_BivProm2+Young,AdjAROCM_BivProm2+,AdjAROCM_BivProm2+Old
77,Orcinus orca,80,0.026333449,0.18739675,0.026020389,0.014267993,0.007325579,0.006927173
78,Oreamnos americanus,20.8,0.22637387,0.284716524,0.199774667,0.019361754,0.052647349,0.042112565
79,Oryctolagus cuniculus,9,0.481122009,NA,0.481122009,NA,0.116748438,0.116748438
80,Otolemur crassicaudatus,22.7,0.178264056,NA,0.178264056,NA,0.046621185,0.046621185
81,Ovis aries,22.8,0.420277472,0.75461988,0.436533079,0.055002921,0.051293654,0.04670069
82,Panthera leo nubica,27,0.210088974,NA,0.241597525,NA,0.056407229,0.057952684
83,Panthera tigris,26.3,0.166115388,NA,0.166115388,NA,0.045151539,0.045151539
84,Papio hamadryas,37.5,0.108600202,NA,0.086798073,NA,0.022130292,0.01772503
85,Peromyscus californicus,5.5,0.967916601,4.171956523,0.559425276,0.319815157,0.199495746,0.10245565
86,Peromyscus eremicus,7.4,0.681636988,2.15849138,0.539894231,0.136229198,0.134294948,0.079433937
87,Peromyscus leucopus,7.9,0.806491591,3.038448677,0.258449084,0.241688044,0.162791807,0.057669894
88,Peromyscus maniculatus,8.3,0.912069609,3.101557864,0.809171103,0.209294815,0.14695912,0.125103334
89,Peromyscus polionotus,5.5,1.251784746,4.892431569,1.138510045,0.375045559,0.25140518,0.177150244
90,Phoca vitulina,48,0.064888961,0.584962916,0.052524772,0.039249035,0.02106149,0.015826306
91,Phyllostomus discolor,18,0.170318869,1.368450741,0.218559666,0.096112094,0.070797805,0.073380594
92,Phyllostomus hastatus,22,0.171931803,0.812087116,0.194051139,0.06611144,0.058307573,0.05391492
93,Propithecus coquereli,30.59,0.060756499,NA,NA,NA,0.032173575,NA
94,Propithecus diadema,21,0.355914989,NA,0.355914989,NA,0.066213989,0.066213989
95,Propithecus tattersalli,26,0.075248603,NA,0.075248603,NA,0.039671046,0.039671046
96,Pteropus hypomelanus,26.5,0.13531823,1.063096474,0.157880586,0.073774878,0.047446406,0.047237974
97,Pteropus poliocephalus,23.6,0.202492927,NA,0.202492927,NA,0.050163898,0.050163898
98,Pteropus pumilus,17.3,0.1545568,1.042587429,0.160887155,0.065934164,0.060465142,0.059120922
99,Pteropus rodricensis,28,0.143859857,NA,0.143859857,NA,0.038168322,0.038168322
100,Pteropus vampyrus,24,0.148289823,0.186105988,0.158241031,0.009688887,0.052094295,0.051337609
101,Rattus norvegicus,3.8,0.736068933,7.924429648,0.724191932,0.494589183,0.241166242,0.198352492
102,Rhinolophus ferrumequinum,30.5,0.13770894,0.721619413,0.15370409,0.063483641,0.042306693,0.042389589
103,Rhynchonycteris naso,8.5,0.172396249,NA,0.484301811,NA,0.046396307,0.119146802
104,Rousettus aegyptiacus,22.9,0.231908189,NA,0.231908189,NA,0.041640711,0.041640711
105,Saccopteryx bilineata,11,0.176644765,-1.893079832,0.311933786,-0.136754025,0.049800266,0.082185498
106,Sarcophilus harrisii,13,0.115823909,NA,0.056285,NA,0.034392021,0.015942323
107,Sorex cinereus,1.9,1.403397216,7.528762369,0.961514291,0.891426825,0.473518524,0.299525104
108,Steno bredanensis,32,0.074541669,NA,NA,NA,0.024082156,NA
109,Sus scrofa domesticus,23,0.54392996,1.187747471,0.609644841,0.084413938,0.070359899,0.040954313
110,Sus scrofa minusculus,23,0.729842295,1.487539711,0.553818749,0.096306555,0.07963797,0.062157946
111,Tachyglossus aculeatus,49.5,0.181028395,NA,NA,NA,0.033064108,NA
112,Tadarida brasiliensis,12,0.306959982,1.637871216,0.291461635,0.149317199,0.088415096,0.058097464
113,Tragelaphus angasii,18.5,0.102240192,NA,0.102240192,NA,0.027491743,0.027491743
114,Tragelaphus eurycerus,21.9,0.157300618,2.728364238,NA,0.116173357,0.060910938,NA
115,Tragelaphus imberbis,19.8,0.16312758,1.128933266,0.743113425,0.076112586,0.062223867,0.064632874
116,Tragelaphus strepsiceros,23.5,0.158147796,NA,0.197821832,NA,0.055694582,0.055274107
117,Trichechus manatus,69,0.064072793,0.090489197,NA,0.003480049,0.015982845,NA
118,Tupaia longipes,12,1.084318804,-1.170553985,1.39059582,-0.035963135,0.130852682,0.126625527
119,Tupaia tana,11.6,0.859448908,NA,0.922797375,NA,0.103607682,0.092542265
120,Tursiops aduncus,49,0.021673249,NA,0.02809338,NA,0.005420601,0.006804467
121,Tursiops truncatus,67,0.040920722,0.243453589,0.042511722,0.014393329,0.011706189,0.011501907
122,Varecia rubra,37.5,0.024624019,NA,NA,NA,0.013474418,NA
123,Varecia variegata,39.4,0.061283971,NA,0.062455023,NA,0.031134336,0.031786297
124,Vicugna pacos,25.8,0.147652498,NA,0.039007046,NA,0.041472024,0.009084515
125,Zalophus californianus,35.7,0.084097845,0.856302244,0.084360598,0.052806255,0.03025464,0.031231555
